PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;H02;H03;H04;H05;H06;H07;H08;H09;H10;H11;H12;H13;H14;H15;H16;H17;H18;H19;H20;H21;H22;H23;H24
28;79;4;1;28079004_1_38;2022;12;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
28;79;4;1;28079004_1_38;2022;12;2;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;3;2;1;1;1
28;79;4;1;28079004_1_38;2022;12;3;1;1;1;1;1;1;1;1;1;1;2;2;2;1;1;1;2;1;1;2;2;2;1;2
28;79;4;1;28079004_1_38;2022;12;4;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
28;79;4;1;28079004_1_38;2022;12;5;1;1;1;1;1;1;1;1;1;1;1;1;1;2;3;2;1;1;2;2;1;1;1;1
28;79;4;1;28079004_1_38;2022;12;6;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;2;3;2;3;3
28;79;4;1;28079004_1_38;2022;12;7;3;3;3;2;1;1;1;2;4;2;3;2;2;2;2;2;1;2;3;3;5;5;4;4
28;79;4;1;28079004_1_38;2022;12;8;4;3;2;1;1;2;2;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1
28;79;4;1;28079004_1_38;2022;12;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
28;79;4;1;28079004_1_38;2022;12;10;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
28;79;4;1;28079004_1_38;2022;12;11;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
28;79;4;1;28079004_1_38;2022;12;13;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
28;79;4;1;28079004_1_38;2022;12;14;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
28;79;4;1;28079004_1_38;2022;12;15;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
28;79;4;1;28079004_1_38;2022;12;16;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1
28;79;4;1;28079004_1_38;2022;12;17;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
28;79;4;1;28079004_1_38;2022;12;18;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1
28;79;4;1;28079004_1_38;2022;12;19;2;3;2;2;1;2;1;2;4;3;2;2;1;1;1;1;1;2;3;2;2;2;2;2
28;79;4;1;28079004_1_38;2022;12;20;1;2;3;3;3;3;3;4;6;6;3;2;2;2;3;3;3;3;3;3;3;3;3;2
28;79;4;1;28079004_1_38;2022;12;21;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
28;79;4;1;28079004_1_38;2022;12;22;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
28;79;4;1;28079004_1_38;2022;12;24;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1
28;79;4;1;28079004_1_38;2022;12;25;1;2;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
28;79;4;1;28079004_1_38;2022;12;26;2;1;2;2;2;1;2;2;2;3;3;2;1;1;1;1;1;1;2;3;4;4;4;3
28;79;4;1;28079004_1_38;2022;12;27;2;2;3;2;2;2;3;4;4;5;5;4;3;2;2;2;1;2;4;4;5;5;3;2
28;79;4;1;28079004_1_38;2022;12;28;2;3;3;3;2;2;2;4;4;5;5;4;2;2;1;1;1;1;1;1;1;1;1;1
28;79;4;1;28079004_1_38;2022;12;30;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
28;79;4;1;28079004_1_38;2022;12;31;1;1;1;1;1;1;1;2;2;2;3;2;1;1;1;1;1;1;1;2;3;2;1;1
28;79;4;6;28079004_6_48;2022;12;1;0.4;0.3;0.3;0.3;0.3;0.2;0.3;0.3;0.3;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.3;0.3;0.4;0.3;0.2;0.2
28;79;4;6;28079004_6_48;2022;12;2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.3;0.4;0.3;0.3;0.4;0.3;0.3;0.2;0.3;0.3;0.3;0.6;0.5;0.4;0.4;0.3
28;79;4;6;28079004_6_48;2022;12;3;0.4;0.4;0.4;0.3;0.3;0.3;0.3;0.4;0.5;0.4;0.6;0.6;0.5;0.4;0.3;0.3;0.4;0.3;0.3;0.5;0.6;0.5;0.5;0.6
28;79;4;6;28079004_6_48;2022;12;4;0.6;0.6;0.6;0.5;0.4;0.4;0.3;0.3;0.4;0.2;0.3;0.3;0.3;0.3;0.3;0.4;0.4;0.4;0.4;0.5;0.6;0.5;0.5;0.5
